Time,Position
0,0
0.001,0.001000001
0.002,0.002000002
0.003,0.003000005
0.004,0.004000009
0.005,0.005000014
0.006,0.00600002
0.007,0.007000027
0.008,0.008000035
0.009,0.009000045
0.01,0.010000055
0.011,0.011000067
0.012,0.012000079
0.013,0.013000093
0.014,0.014000108
0.015,0.015000124
0.016,0.016000141
0.017,0.017000159
0.018,0.018000178
0.019,0.019000199
0.02,0.02000022
0.021,0.021000243
0.022,0.022000266
0.023,0.023000291
0.024,0.024000317
0.025,0.025000344
0.026,0.026000372
0.027,0.027000401
0.028,0.028000431
0.029,0.029000463
0.03,0.030000495
0.031,0.031000529
0.032,0.032000563
0.033,0.033000599
0.034,0.034000636
0.035,0.035000674
0.036,0.036000713
0.037,0.037000753
0.038,0.038000794
0.039,0.039000837
0.04,0.04000088
0.041,0.041000925
0.042,0.04200097
0.043,0.043001017
0.044,0.044001065
0.045,0.045001114
0.046,0.046001164
0.047,0.047001215
0.048,0.048001267
0.049,0.049001321
0.05,0.050001375
0.051,0.051001431
0.052,0.052001487
0.053,0.053001545
0.054,0.054001604
0.055,0.055001664
0.056,0.056001725
0.057,0.057001787
0.058,0.05800185
0.059,0.059001915
0.06,0.06000198
0.061,0.061002047
0.062,0.062002114
0.063,0.063002183
0.064,0.064002253
0.065,0.065002324
0.066,0.066002396
0.067,0.067002469
0.068,0.068002543
0.069,0.069002619
0.07,0.070002695
0.071,0.071002773
0.072,0.072002851
0.073,0.073002931
0.074,0.074003012
0.075,0.075003094
0.076,0.076003177
0.077,0.077003261
0.078,0.078003346
0.079,0.079003433
0.08,0.08000352
0.081,0.081003609
0.082,0.082003698
0.083,0.083003789
0.084,0.084003881
0.085,0.085003974
0.086,0.086004068
0.087,0.087004163
0.088,0.088004259
0.089,0.089004357
0.09,0.090004455
0.091,0.091004555
0.092,0.092004655
0.093,0.093004757
0.094,0.09400486
0.095,0.095004964
0.096,0.096005069
0.097,0.097005175
0.098,0.098005282
0.099,0.099005391
0.1,0.1000055
0.101,0.101005611
0.102,0.102005722
0.103,0.103005835
0.104,0.104005949
0.105,0.105006064
0.106,0.10600618
0.107,0.107006297
0.108,0.108006415
0.109,0.109006535
