Time,Velocity,True Position
0,1,5
0.001,1,5.001
0.002,1,5.002
0.003,1,5.003
0.004,1,5.004
0.005,1,5.005
0.006,1,5.006
0.007,1,5.007
0.008,1,5.008
0.009,1,5.009
0.01,1,5.01
0.011,1,5.011
0.012,1,5.012
0.013,1,5.013
0.014,1,5.014
0.015,1,5.015
0.016,1,5.016
0.017,1,5.017
0.018,1,5.018
0.019,1,5.019
0.02,1,5.02
0.021,1,5.021
0.022,1,5.022
0.023,1,5.023
0.024,1,5.024
0.025,1,5.025
0.026,1,5.026
0.027,1,5.027
0.028,1,5.028
0.029,1,5.029
0.03,1,5.03
0.031,1,5.031
0.032,1,5.032
0.033,1,5.033
0.034,1,5.034
0.035,1,5.035
0.036,1,5.036
0.037,1,5.037
0.038,1,5.038
0.039,1,5.039
0.04,1,5.04
0.041,1,5.041
0.042,1,5.042
0.043,1,5.043
0.044,1,5.044
0.045,1,5.045
0.046,1,5.046
0.047,1,5.047
0.048,1,5.048
0.049,1,5.049
0.05,1,5.05
0.051,1,5.051
0.052,1,5.052
0.053,1,5.053
0.054,1,5.054
0.055,1,5.055
0.056,1,5.056
0.057,1,5.057
0.058,1,5.058
0.059,1,5.059
0.06,1,5.06
0.061,1,5.061
0.062,1,5.062
0.063,1,5.063
0.064,1,5.064
0.065,1,5.065
0.066,1,5.066
0.067,1,5.067
0.068,1,5.068
0.069,1,5.069
0.07,1,5.07
0.071,1,5.071
0.072,1,5.072
0.073,1,5.073
0.074,1,5.074
0.075,1,5.075
0.076,1,5.076
0.077,1,5.077
0.078,1,5.078
0.079,1,5.079
0.08,1,5.08
0.081,1,5.081
0.082,1,5.082
0.083,1,5.083
0.084,1,5.084
0.085,1,5.085
0.086,1,5.086
0.087,1,5.087
0.088,1,5.088
0.089,1,5.089
0.09,1,5.09
0.091,1,5.091
0.092,1,5.092
0.093,1,5.093
0.094,1,5.094
0.095,1,5.095
0.096,1,5.096
0.097,1,5.097
0.098,1,5.098
0.099,1,5.099
0.1,1,5.1
0.101,1,5.101
0.102,1,5.102
0.103,1,5.103
0.104,1,5.104
0.105,1,5.105
0.106,1,5.106
0.107,1,5.107
0.108,1,5.108
0.109,1,5.109
0.11,1,5.11
0.111,1,5.111
0.112,1,5.112
0.113,1,5.113
0.114,1,5.114
0.115,1,5.115
0.116,1,5.116
0.117,1,5.117
0.118,1,5.118
0.119,1,5.119
0.12,1,5.12
0.121,1,5.121
0.122,1,5.122
0.123,1,5.123
0.124,1,5.124
0.125,1,5.125
0.126,1,5.126
0.127,1,5.127
0.128,1,5.128
0.129,1,5.129
0.13,1,5.13
0.131,1,5.131
0.132,1,5.132
0.133,1,5.133
0.134,1,5.134
0.135,1,5.135
0.136,1,5.136
0.137,1,5.137
0.138,1,5.138
0.139,1,5.139
0.14,1,5.14
0.141,1,5.141
0.142,1,5.142
0.143,1,5.143
0.144,1,5.144
0.145,1,5.145
0.146,1,5.146
0.147,1,5.147
0.148,1,5.148
0.149,1,5.149
0.15,1,5.15
0.151,1,5.151
0.152,1,5.152
0.153,1,5.153
0.154,1,5.154
0.155,1,5.155
0.156,1,5.156
0.157,1,5.157
0.158,1,5.158
0.159,1,5.159
0.16,1,5.16
0.161,1,5.161
0.162,1,5.162
0.163,1,5.163
0.164,1,5.164
0.165,1,5.165
0.166,1,5.166
0.167,1,5.167
0.168,1,5.168
0.169,1,5.169
0.17,1,5.17
0.171,1,5.171
0.172,1,5.172
0.173,1,5.173
0.174,1,5.174
0.175,1,5.175
0.176,1,5.176
0.177,1,5.177
0.178,1,5.178
0.179,1,5.179
0.18,1,5.18
0.181,1,5.181
0.182,1,5.182
0.183,1,5.183
0.184,1,5.184
0.185,1,5.185
0.186,1,5.186
0.187,1,5.187
0.188,1,5.188
0.189,1,5.189
0.19,1,5.19
0.191,1,5.191
0.192,1,5.192
0.193,1,5.193
0.194,1,5.194
0.195,1,5.195
0.196,1,5.196
0.197,1,5.197
0.198,1,5.198
0.199,1,5.199
0.2,1,5.2
0.201,1,5.201
0.202,1,5.202
0.203,1,5.203
0.204,1,5.204
0.205,1,5.205
0.206,1,5.206
0.207,1,5.207
0.208,1,5.208
0.209,1,5.209
0.21,1,5.21
